block,colour
JNDPEINHPO,#3F926A
EKNTCCSZTG,#BDBABA
XKIJUXAYZQ,#BDBABA
ILPIOVYJEM,#BDBABA
DIMMUNJDDP,#BDBABA
KDIVUXQGHS,#50B4CC
FHBVBVMWTA,#26B5D3
FATBNZVTQW,#431D70
EWTLVUAOAJ,#6399F5
CTFFCKDABD,#921F66
AXAENQGIFV,#BDBABA
JQTVIFOJGT,#BDBABA
PMGYOZVCTC,#61043C
HALKKORSXJ,#9B36BB
CAHUZLLULI,#735AE3
FUBNOFIUDF,#BDBABA
RGADLGRONO,#1E5AFB
FVBQNBLGPT,#BDBABA
OGJFRJDNAU,#BDBABA
IXVSRJMRDM,#BDBABA
QEIOXFKSBC,#2B1D50
VFPLWAPFER,#F26F04
FWCOVIIEFN,#BDBABA
MWABUFXNJI,#BDBABA
PPOUIVXSMI,#BDBABA
ETSCUQJWKW,#E285A4
FRBDEXDSKB,#BDBABA
QZKKTRNGAK,#BDBABA
HRBAPSBYDV,#BDBABA
DTCJJZOGQE,#BDBABA
IDCHRRQZGB,#232A3A
JRNTIYLUPX,#BDBABA
JSGPXYCFOJ,#971491
DRJTIIMREB,#6B74E7
MJRNPYMNKE,#BDBABA
DCOMTUJANS,#5D487C
XWFWMJEWJE,#9054D8
ZCHTXACCDF,#BDBABA
EKCNQVVFUW,#51F303
